soil_moisture,vibration_max,vibration_rms,flame_detected,rainfall_24h,temperature,wind_speed,wind_direction,soil_type,water_bearing_capacity,slope,vegetation_cover,label,event_type,node_id,lat,lon,timestamp
35,0.01,0.005,0,5,16,3,0,1,120,10,60,0,,1,10.02,76.3,2026-03-09T21:46:34.605897
45,0.02,0.01,0,15,18,6,45,1,120,15,60,0,,1,10.02,76.3,2026-03-09T21:46:34.605897
55,0.03,0.015,0,25,20,9,90,2,140,20,60,0,,1,10.02,76.3,2026-03-09T21:46:34.605897
65,0.05,0.025,0,45,23,12,135,2,140,25,55,0,,1,10.02,76.3,2026-03-09T21:46:34.605897
75,0.1,0.05,0,75,26,18,180,2,140,30,50,1,,1,10.02,76.3,2026-03-09T21:46:34.605897
85,0.15,0.08,1,120,30,25,225,3,100,40,30,1,,1,10.02,76.3,2026-03-09T21:46:34.605897
40,0.02,0.01,0,10,17,5,30,1,120,12,60,0,,1,10.02,76.3,2026-03-09T21:46:34.605897
70,0.12,0.07,1,100,28,22,270,3,100,38,25,1,,1,10.02,76.3,2026-03-09T21:46:34.605897
50,0.04,0.02,0,20,21,8,60,2,140,18,55,0,,1,10.02,76.3,2026-03-09T21:46:34.605897
80,0.16,0.09,1,110,32,28,315,3,95,45,20,1,,1,10.02,76.3,2026-03-09T21:46:34.605897
60,0.06,0.035,0,50,24,15,120,1,120,22,55,0,,1,10.02,76.3,2026-03-09T21:46:34.605897
90,0.18,0.1,1,150,33,30,240,3,100,42,15,1,,1,10.02,76.3,2026-03-09T21:46:34.605897
0.0,10.283,10.180704775403635,0,0.0,32.1,21.6,267,2,140.0,35,55,,,1,10.02,76.3,2026-03-12T16:52:56.368676
0.0,0.0,0.0,0,0.0,32.1,21.6,267,1,140.0,20,45,,,2,10.03,76.31,2026-03-12T16:52:59.663090
0.0,10.333,10.128749081909657,0,0.0,28.6,19.4,287,2,140.0,35,55,,,1,10.02,76.3,2026-03-19T17:21:12.898357
0.0,10.211,10.108091524577267,0,0.0,28.6,19.4,287,1,140.0,20,45,,,2,10.03,76.31,2026-03-19T17:21:12.904422
0.0,10.137,10.127609444813059,0,0.0,31.6,11.9,67,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T12:07:55.950593
76.07100591715977,10.606,10.082513004465062,0,0.0,31.6,11.9,67,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T12:07:55.953574
0.0,11.162,10.000972666250235,0,0.0,32.8,13.0,73,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T12:22:55.964564
0.0,10.393,10.128073310248984,0,0.0,32.8,13.0,73,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T12:22:56.049703
0.0,10.017,9.910328977609394,0,0.0,32.8,13.0,73,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T12:37:56.074191
0.0,10.25,10.14712552400925,0,0.0,32.8,13.0,73,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T12:37:56.077627
0.0,11.14,9.902949706404348,0,0.0,32.8,13.0,73,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T12:52:56.091687
0.0,10.424,9.889205219659628,0,0.0,32.7,12.2,70,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T13:07:56.101866
0.0,10.238,10.135850946703641,0,0.0,32.7,12.2,70,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T13:07:56.108021
1.8604651162790697,9.826,9.969441096624713,0,0.0,32.7,12.2,70,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T13:28:02.343992
33.365591397849464,10.321,10.12113623184946,0,0.0,33.7,12.6,77,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T13:28:02.353558
0.0,10.412,10.0216435019277,0,0.0,33.7,12.6,77,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T13:43:02.364528
0.0,10.317,10.125450133973523,0,0.0,33.7,12.6,77,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T13:43:02.367518
0.0,9.498,10.0354438319003,0,0.0,33.7,12.6,77,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T13:58:02.378432
0.0,10.252,10.116927632438614,0,0.0,33.7,12.6,77,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T13:58:02.381023
0.0,10.149,10.10326659647577,0,0.0,33.7,12.6,77,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T14:13:02.386965
0.0,9.199,10.017966280923204,0,0.0,33.7,12.6,77,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T14:13:02.390127
0.0,10.082,9.980923257805978,0,0.0,33.7,12.6,77,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T14:28:02.397636
